City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
456,Bac Lieu,VN,81.19,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
458,Kilindoni,TZ,79.5,broken clouds,-7.91,39.67,Bustani B&B
459,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
471,Elk City,US,87.8,clear sky,35.41,-99.4,Hampton Inn & Suites Elk City
472,Alto Araguaia,BR,79.48,clear sky,-17.31,-53.22,Araguaia Palace Hotel
478,Freeport,US,86.0,clear sky,40.66,-73.58,The Freeport Inn and Marinad
479,Jian,CN,78.35,overcast clouds,27.12,114.98,Luling International Hotel
487,Southbridge,US,90.0,broken clouds,42.08,-72.03,Southbridge Hotel & Conference Center
489,Ewo,CG,76.62,broken clouds,-0.87,14.82,Residence Elonda Ewo
498,Umm Lajj,SA,82.6,broken clouds,25.02,37.27,Moon light Furnished Units
499,Bathsheba,BB,86.0,haze,13.22,-59.52,Atlantis Hotel
500,Mogadishu,SO,78.75,overcast clouds,2.04,45.34,Hotel Juba
501,Fasa,IR,75.2,clear sky,28.94,53.65,Fasa University Boys' Dormitory
503,Half Moon Bay,US,79.0,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
504,Auki,SB,78.62,overcast clouds,-8.77,160.7,Auki Motel
510,Mecca,SA,84.63,overcast clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
513,Limbang,MY,78.8,thunderstorm,4.75,115.0,Purnama Hotel
514,Kanniyakumari,IN,79.7,overcast clouds,8.08,77.57,New Cape Hotel
516,Ishigaki,JP,83.88,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
518,Fallon,US,87.8,scattered clouds,39.47,-118.78,Best Western Fallon Inn & Suites
519,Petaluma,US,84.2,clear sky,38.23,-122.64,Sheraton Sonoma Wine Country Petaluma
523,Yankton,US,82.4,few clouds,42.87,-97.4,Holiday Inn Express & Suites Yankton
532,Nador,MA,78.8,clear sky,35.17,-2.93,Hôtel La Giralda
533,Gunjur,GM,80.4,scattered clouds,13.2,-16.73,Kuba Lodge
536,Tema,GH,78.8,broken clouds,5.67,-0.02,Beulah Royale
542,San Nicolas,PH,80.26,broken clouds,18.17,120.6,NORTHVIEW Hotel
545,Nurota,UZ,80.6,few clouds,40.56,65.69,Guest House Ruslan Nurata & Tours
546,Marrakesh,MA,87.8,few clouds,31.63,-8.01,Les Jardins de La Koutoubia
553,Itarema,BR,81.09,few clouds,-2.92,-39.92,Windvillage
558,Puerto Escondido,MX,89.6,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
563,East Bethel,US,84.99,broken clouds,45.32,-93.2,Norquist Camp Ground
567,Des Moines,US,88.0,clear sky,41.6,-93.61,Des Moines Marriott Downtown
568,Tagusao,PH,80.71,broken clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
570,Lincoln,US,82.99,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
571,Gerash,IR,87.8,clear sky,27.67,54.14,Chelpasin
573,Puerto Colombia,CO,84.2,thunderstorm with rain,10.99,-74.95,Hotel El Emigrante
576,Corralillo,CU,85.17,clear sky,22.98,-80.59,Hostal De Pedri
